id,name,rate,rate1,rate2,rate3
22001,Acadia,0,0,28591,0
22003,Allen,0,0,12724,0
22005,Ascension,39.3,22890,58304,0
22007,Assumption,40.3,4227,10490,0
22009,Avoyelles,0,0,21904,0
22011,Beauregard,0,0,22275,0
22013,Bienville,0,0,8952,0
22015,Bossier,0,0,61416,0
22017,Caddo,0,0,119697,0
22019,Calcasieu,0,0,100162,0
22021,Caldwell,0,0,6191,0
22023,Cameron,0,0,1806,0
22025,Catahoula,0,0,125,0
22027,Claiborne,3.3,311,9371,0
22029,Concordia,0,0,5134,0
22031,De Soto,0,0,14826,0
22033,East Baton Rouge,0,0,216086,0
22035,East Carroll,0,0,3525,0
22037,East Feliciana,28.2,2923,10375,0
22039,Evangeline,0,0,18110,0
22041,Franklin,0,0,7227,0
22043,Grant,0,0,9363,0
22045,Iberia,0,0,34787,0
22047,Iberville,24,2183,9087,0
22049,Jackson,0,0,8918,0
22051,Jefferson,77.2,163588,211981,0
22053,Jefferson Davis,0,0,12338,0
22055,Lafayette,0,0,56810,0
22057,Lafourche,72.4,32023,44235,0
22059,La Salle,0,0,5845,0
22061,Lincoln,0,0,13301,0
22063,Livingston,41.2,28079,68218,0
22065,Madison,4.4,261,5937,0
22067,Morehouse,0,0,12665,0
22069,Natchitoches,0,0,13327,0
22071,Orleans,43.6,84553,193765,0
22073,Ouachita,0,0,79791,0
22075,Plaquemines,83.1,10529,12664,0
22077,Pointe Coupee,1.4,71,5091,0
22079,Rapides,0,0,44068,0
22081,Red River,0,0,5114,0
22083,Richland,0,3,8978,0
22085,Sabine,0,0,17809,0
22087,St. Bernard,64.6,13234,20488,0
22089,St. Charles,71.7,16487,22979,0
22091,St. Helena,196.4,13672,6961,0
22093,St. James,82.1,8171,9952,0
22095,St. John The Baptist,76.2,15111,19836,0
22097,St. Landry,0,0,46099,0
22099,St. Martin,0.4,93,25611,0
22101,St. Mary,0,0,18981,0
22103,St. Tammany,35.3,45098,127932,0
22105,Tangipahoa,60.1,41557,69115,0
22107,Tensas,0,0,3609,0
22109,Terrebonne,70,19418,27753,0
22111,Union,0,0,13826,0
22113,Vermilion,0,0,22842,0
22115,Vernon,0,0,25913,0
22117,Washington,28.2,6950,24683,0
22119,Webster,0,0,16385,0
22121,West Baton Rouge,0,0,12840,0
22123,West Carroll,0,0,2590,0
22125,West Feliciana,2.1,134,6409,0
22127,Winn,0,0,5253,0
28001,Adams,0,0,17108,0
28003,Alcorn,0,0,371,0
28005,Amite,27.2,3232,11863,0
28007,Attala,24.8,1866,7526,0
28009,Benton,0,0,836,0
28011,Bolivar,0,0,13452,0
28013,Calhoun,0,0,40,0
28015,Carroll,0,0,1278,0
28017,Chickasaw,0,0,698,0
28019,Choctaw,0,0,7186,0
28021,Claiborne,0,0,5287,0
28023,Clarke,0,0,10017,0
28025,Clay,0,0,4548,0
28027,Coahoma,0,0,5854,0
28029,Copiah,0,0,15732,0
28031,Covington,0,0,11527,0
28033,Desoto,0,0,56863,0
28035,Forrest,0,0,39457,0
28037,Franklin,3.2,271,8391,0
28039,George,0,0,16819,0
28041,Greene,0,0,8898,0
28043,Grenada,0,0,11412,0
28045,Hancock,0,0,26306,0
28047,Harrison,0,0,103105,0
28049,Hinds,0,0,110223,0
28051,Holmes,2.1,101,4910,0
28053,Humphreys,0,0,2616,0
28055,Issaquena,2.6,133,5132,0
28057,Jackson,0,0,79224,0
28059,Jasper,0,0,11722,0
28061,Jeff Davis,0,0,7888,0
28063,Jefferson,0,0,4917,0
28065,Jefferson Davis,0,0,7888,0
28067,Jones,0,0,35075,0
28069,Kemper,0,0,5762,0
28071,Lafayette,0,0,24964,0
28073,Lamar,0,0,32814,0
28075,Lauderdale,0,0,37140,0
28077,Lawrence,2.8,246,8726,0
28079,Leake,0,0,11413,0
28081,Lee,0,0,5022,0
28083,Leflore,0,0,1322,0
28085,Lincoln,0,0,18006,0
28087,Lowndes,0,0,5889,0
28089,Madison,0,0,50058,0
28091,Marion,0,0,13592,0
28093,Marshall,0,0,1015,0
28095,Monroe,0,0,1963,0
28097,Montgomery,0,0,3721,0
28099,Neshoba,0,0,11343,0
28101,Newton,0,0,12481,0
28103,Noxubee,0,0,10259,0
28105,Oktibbeha,0,0,7549,0
28107,Panola,0,0,18206,0
28109,Pearl River,0,0,29946,0
28111,Perry,0,0,7309,0
28113,Pike,13.9,2785,20043,0
28115,Pontotoc,0,0,2311,0
28117,Prentiss,0,0,397,0
28119,Quitman,0,0,4030,0
28121,Rankin,0,0,73940,0
28123,Scott,0.5,79,14633,0
28125,Sharkey,0,0,1965,0
28127,Simpson,0,0,15929,0
28129,Smith,0,0,10693,0
28131,Stone,0.7,63,9557,0
28133,Sunflower,0,0,8743,0
28135,Tallahatchie,0,0,7078,0
28137,Tate,0,0,13527,0
28139,Tippah,0,0,10921,0
28143,Tunica,0,0,5906,0
28145,Union,0,0,3326,0
28147,Walthall,15.6,1345,8602,0
28149,Warren,0,0,21798,0
28151,Washington,4.8,762,16023,0
28153,Wayne,7.8,954,12192,0
28155,Webster,0,0,1312,0
28157,Wilkinson,0,0,5922,0
28159,Winston,0,0,6988,0
28161,Yalobusha,0,0,5516,0
28163,Yazoo,2.7,36,1333,0
